Symbol,Series,Name,Band,Remarks
AATMAJ,ST,Aatmaj Healthcare Limited,5,"-"
ABINFRA,SM,A B Infrabuild Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
AGNI,SM,Agni Green Power Limited,5,"-"
AILIMITED,SM,Abhishek Integrations Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AMBANIORG,SM,Ambani Organics Limited,5,"-"
ASCOM,SM,Ascom Leasing & Investments Limited,5,"-"
AURDIS,SM,Aurangabad Distillery Limited,5,"-"
AVSL,SM,AVSL Industries Limited,5,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,5,"-"
BRIGHT,SM,Bright Solar Limited,5,"-"
CADSYS,SM,Cadsys (India) Limited,5,"-"
CELLPOINT,ST,Cell Point (India) Limited,5,"-"
CLOUD,SM,Varanium Cloud Limited,5,"-"
CMMIPL,ST,CMM Infraprojects Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
COOLCAPS,SM,Cool Caps Industries Limited,5,"-"
CRAYONS,SM,Crayons Advertising Limited,5,"-"
DESTINY,SM,Destiny Logistics & Infra Limited,5,"-"
DRSDILIP,SM,DRS Dilip Roadlines Limited,5,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,5,"-"
DYNAMIC,SM,Dynamic Services & Security Limited,5,"-"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,5,"-"
ESFL,ST,Essen Speciality Films Limited,5,"-"
FELIX,SM,Felix Industries Limited,5,"-"
FOCE,SM,Foce India Limited,5,"-"
GIRIRAJ,SM,Giriraj Civil Developers Limited,5,"-"
GLOBALPET,ST,Global Pet Industries Limited,5,"-"
GOLDSTAR,SM,Goldstar Power Limited,5,"-"
GREENCHEF,ST,Greenchef Appliances Limited,5,"-"
GRETEX,SM,Gretex Industries Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
INNOVANA,SM,Innovana Thinklabs Limited,5,"-"
INNOVATIVE,ST,Innovative Tyres and Tubes Limited,5,"-"
ISHAN,SM,Ishan International Limited,5,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,5,"-"
JAKHARIA,SM,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,SM,Jalan Transolutions (India) Limited,5,"-"
JETKNIT,SM,Jet Knitwears Limited,5,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
LGHL,SM,Laxmi Goldorna House Limited,5,"-"
LLOYDS,SM,Lloyds Luxuries Limited,5,"-"
LRRPL,SM,Lead Reclaim And Rubber Products Limited,5,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,5,"-"
MAGSON,ST,Magson Retail And Distribution Limited,5,"-"
MAKS,SM,Maks Energy Solutions India Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MDL,SM,Marvel Decor Limited,5,"-"
MEGAFLEX,SM,Mega Flex Plastics Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,SM,Mindpool Technologies Limited,5,"-"
NIRMAN,SM,Nirman Agri Genetics Limited,5,"-"
NPST,SM,Network People Services Technologies Limited,5,"-"
OMFURN,SM,Omfurn India Limited,5,"-"
PARIN,SM,Parin Furniture Limited,5,"-"
PARTYCRUS,SM,Party Cruisers Limited,5,"-"
PENTAGOLD,ST,Penta Gold Limited,5,"-"
PENTAGON,ST,Pentagon Rubber Limited,5,"-"
PERFECT,SM,Perfect Infraengineers Limited,5,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PULZ,SM,Pulz Electronics Limited,5,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,5,"-"
RELIABLE,SM,Reliable Data Services Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RILINFRA,SM,Rachana Infrastructure Limited,5,"-"
RMDRIP,SM,R M Drip and Sprinklers Systems Limited,5,"-"
SECL,SM,Salasar Exteriors And Contour Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SKSTEXTILE,ST,SKS Textiles Limited,5,"-"
SOLEX,SM,Solex Energy Limited,5,"-"
SONAHISONA,SM,Sona Hi Sona Jewellers (Gujarat) Limited,5,"-"
SPECTRUM,SM,Spectrum Electrical Industries Limited,5,"-"
SRIRAM,SZ,Shri Ram Switchgears Limited,5,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,5,"-"
SSINFRA,ST,S.S. Infrastructure Development Consultants Limited,5,"-"
SURANI,SM,Surani Steel Tubes Limited,5,"-"
SWARAJ,SM,Swaraj Suiting Limited,5,"-"
SYSTANGO,SM,Systango Technologies Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TIRUPATI,SM,Shree Tirupati Balajee FIBC Limited,5,"-"
TRANSWIND,SM,Transwind Infrastructures Limited,5,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VERA,SM,Vera Synthetic Limited,5,"-"
VILINBIO,ST,Vilin Bio Med Limited,5,"-"
VIVO,SM,Vivo Collaboration Solutions Limited,5,"-"
VMARCIND,SM,V Marc India Limited,5,"-"
VSCL,SM,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,SM,Walpar Nutritions Limited,5,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,10,"-"
AHIMSA,SM,Ahimsa Industries Limited,10,"-"
ARHAM,SM,Arham Technologies Limited,10,"-"
ASLIND,SM,ASL Industries Limited,10,"-"
BDR,IT,BDR Buildcon Limited,10,"-"
DRL,SM,Dhanuka Realty Limited,10,"-"
GICL,SM,Globe International Carriers Limited,10,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,10,"-"
GRCL,SM,Gayatri Rubbers And Chemicals Limited,10,"-"
INFINIUM,SM,Infinium Pharmachem Limited,10,"-"
KDL,SM,Kore Digital Limited,10,"-"
KKVAPOW,SM,KKV Agro Powers Limited,10,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,10,"-"
MRO,IT,M.R. Organisation Limited,10,"-"
RBMINFRA,SM,Rbm Infracon Limited,10,"-"
REMUS,SM,Remus Pharmaceuticals Limited,10,"-"
SMVD,SM,SMVD Poly Pack Limited,10,"-"
SWASTIK,SM,Swastik Pipe Limited,10,"-"
VIVIANA,SM,Viviana Power Tech Limited,10,"-"
ABCOTS,SM,A B Cotspin India Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,20,"-"
AGUL,SM,A G Universal Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
AMEYA,SM,Ameya Precision Engineers Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANLON,SM,Anlon Technology Solutions Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARISTO,SM,Aristo Bio Tech And Lifescience Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
BAHETI,SM,Baheti Recycling Industries Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BEWLTD,SM,BEW Engineering Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
CMNL,SM,Chaman Metallics Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FROG,SM,Frog Cellsat Limited,20,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,20,"-"
JSLL,SM,Jeena Sikho Lifecare Limited,20,"-"
KANDARP,SM,Kandarp Digi Smart Bpo Limited,20,"-"
KCK,SM,Kck Industries Limited,20,"-"
KNAGRI,SM,Kn Agri Resources Limited,20,"-"
KORE,SM,Jay Jalaram Technologies Limited,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,20,"-"
KRISHNADEF,SM,Krishna Defence And Allied Industries Limited,20,"-"
LEMERITE,SM,Le Merite Exports Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MOS,SM,Mos Utility Limited,20,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,20,"-"
PATTECH,SM,Pattech Fitwell Tube Components Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PRITIKA,SM,Pritika Engineering Components Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
QFIL,SM,Quality Foils (India) Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUADPRO,SM,Quadpro Ites Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
SABAR,SM,Sabar Flex India Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SHAIVAL,SM,Shaival Reality Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,20,"-"
SHIVAUM,SM,Shiv Aum Steels Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SONUINFRA,SM,Sonu Infratech Limited,20,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,20,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,20,"-"
SPRL,SM,Sp Refractories Limited,20,"-"
TARACHAND,SM,Tara Chand InfraLogistic Solutions Limited,20,"-"
THEJO,SM,Thejo Engineering Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
URBAN,SM,Urban Enviro Waste Management Limited,20,"-"
VEEKAYEM,SM,Veekayem Fashion And Apparels Limited,20,"-"
VELS,SM,Vels Film International Limited,20,"-"
VERTEXPLUS,SM,Vertexplus Technologies Limited,20,"-"
VIAZ,SM,Viaz Tyres Limited,20,"-"
VITAL,SM,Vital Chemtech Limited,20,"-"
